Record ID,Manufacturer Part Number,Short Number,Price
CAM1036 - Black -  Single Gang -  Wave Sensor - Black -  Single Gang -  Wave Sensor -  - CM-336 - $200.00 ,CM-336,CAM1036,200.0
"CAM1063 - SureWave Wireless No-Touch Switch -  Double Gang Faceplate -  Stainless Steel -  'Wave To Open' Graphics - SureWave Wireless No-Touch Switch, Double Gang Faceplate, Stainless Steel, 'Wave To Open' Graphics -  - CM-336/41SW - $262.75 ",CM-336/41SW,CAM1063,262.75
"CAM1060 - SureWave Wireless No-Touch Switch -  6in Round -  Stainless Steel -  'Wave To Open' Graphic - SureWave Wireless No-Touch Switch, 6in Round, Stainless Steel, 'Wave To Open' Graphic -  - CM-336/42R - $262.75 ",CM-336/42R,CAM1060,262.75
CAM1041 - Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish - Single Gang Surface Mount Box -  Flame/Impact Resistant -  Black Finish -  - CM-34BL - $30.00 ,CM-34BL,CAM1041,30.0
"CAM1054 - 4.5 Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay - 4.5"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay -  - CM-40/4 - $85.13 ",CM-40/4,CAM1054,85.13
"CAM1055 - 4.5 Round Switch w/Handicap & Push to Open -  Weather Tight - 4.5 Round Switch w/Handicap & Push to Open, Weather Tight -  - CM-40/4-WT - $126.12 ",CM-40/4-WT,CAM1055,126.12
CAM1002 - 42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish - 42 Tall Mounting Post -  Single Gang Prep -  36 Switch Height -  Dark Bronze Anodized Aluminum Finish - CD124 - CM-42-BSU-BRZ - $440.00 ,CM-42-BSU-BRZ,CAM1002,440.0
CAM1040 - Tall Mounting Post - Clear Aluminum - Tall Mounting Post 42in - Single Gang Prep - 36in Switch Height - Camden -  Clear Aluminum -  - CM-42-BSU-CLR - $440.00 ,CM-42-BSU-CLR,CAM1040,440.0
CAM1046 - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Dark Bronze -  - CM-42-CSU-BRZ - $440.00 ,CM-42-CSU-BRZ,CAM1046,440.0
CAM1035 - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum - 42in Tall Mounting Post -  No Switch Prep -  36in Switch Height -  Clear Aluminum -  - CM-42-CSU-CLR - $440.00 ,CM-42-CSU-CLR,CAM1035,440.0
CAM1015 - CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT - CAMDEN RED MUSHROOM BUTTON PUSH TO EXIT - CM136 - CM-420RPTE - $115.61 ,CM-420RPTE,CAM1015,115.61
CAM1048 - Plastic Mounting Box - Plastic Mounting Box -  - CM-43CBL - $31.53 ,CM-43CBL,CAM1048,31.53
"CAM1064 - Surface Mounting Box -  Flame/Impact Resistant -  4-1/2W X 4-1/2H X 2D - Surface Mounting Box, Flame/Impact Resistant, 4-1/2""W X 4-1/2""H X 2""D -  - CM-43CBLA - $44.14 ",CM-43CBLA,CAM1064,44.14
"CAM1056 - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Satin Stainless Steel - 4.5"" Square Push Plate Switch, Concealed Screws, SPDT Relay, Handicap & Push to Open Symbol, Satin Stainless Steel -  - CM-45/4 - $90.39 ",CM-45/4,CAM1056,90.39
"CAM1057 - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight -  Satin Stainless Steel - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight, Satin Stainless Steel -  - CM-45/4-WT - $126.12 ",CM-45/4-WT,CAM1057,126.12
"CAM1049 - 4 Round Surface Mount Box - 4"" Round Surface Mount Box -  - CM-47S - $44.14 ",CM-47S,CAM1049,44.14
"CAM1058 - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Satin Stainless Steel - 6"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay, Satin Stainless Steel -  - CM-60/4 - $90.39 ",CM-60/4,CAM1058,90.39
"CAM1059 - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight -  Satin Stainless Steel - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight, Satin Stainless Steel -  - CM-60/4-WT - $126.12 ",CM-60/4-WT,CAM1059,126.12
CAM1014 - Red Locking Mushroom Switch - Red Locking Mushroom Switch - CM135 - CM-6030 - $183.93 ,CM-6030,CAM1014,183.93
"CAM1050 - 6 Round Surface Mount Enclosure  - 6"" Round Surface Mount Enclosure -  - CM-69S - $48.35 ",CM-69S,CAM1050,48.35
"CAM1061 - Round Mounting Box -  Surface -  Extra Deep -  For Kinetic CM-60K Series Push Plates - Round Mounting Box, Surface, Extra Deep, For Kinetic CM-60K Series Push Plates -  - CM-69SER - $63.06 ",CM-69SER,CAM1061,63.06
CAM1032 - Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels - Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels -  - CM-701U - $49.58 ,CM-701U,CAM1032,49.58
CAM1062 - Full Function Dual Relay Receiver - Full Function Dual Relay Receiver -  - CM-RX-92 - $136.63 ,CM-RX-92,CAM1062,136.63
CAM1038 - Advanced 1 Relay Receiver -  Kinetic/Lazerpoint - Advanced 1 Relay Receiver -  Kinetic/Lazerpoint -  - CM-RX90 - $88.00 ,CM-RX90,CAM1038,88.0
"CAM1053 - Advanced 1 Channel Receiver -  915MHz - Advanced 1 Channel Receiver, 915MHz -  - CM-RX90 - $94.59 ",CM-RX90,CAM1053,94.59
CAM1037 - Camden Relay receiver -  12/24VAC/DC - Camden Relay receiver -  12/24VAC/DC -  - CM-RX92 - $130.00 ,CM-RX92,CAM1037,130.0
CAM1042 - Lazer point wall switch transmitter 915 mhz - Lazer point wall switch transmitter 915 mhz -  - CM-TX-9 - $75.00 ,CM-TX-9,CAM1042,75.0
CAM1000 - SS SLEAVE FOR 4X4 BOX - SS SLEAVE FOR 4X4 BOX - CD122 - CM67 - $33.13 ,CM67,CAM1000,33.13
CAM1001 - SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL - SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL - CD123 - CM68AL - $33.13 ,CM68AL,CAM1001,33.13
CAM1019 - Camden Blue -  Emergency Pull for Door Release - Camden Blue -  Emergency Pull for Door Release - CM002 - CMD CM-703 - $80.18 ,CMD CM-703,CAM1019,80.18
