Record ID,Manufacturer,Manufacturer Part Number,Price,Cost,MSRP,Internal Description,Frequently Used,Supplier,Description,Pricing Strategy,MSRP Adjustment,QBE Price,Last Pricing Update,Short Number,Old Short Number,Secondary Supplier,Tertiary Supplier,Pricing Source
"CAM1057 - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight -  Satin Stainless Steel - 4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight, Satin Stainless Steel -  - CM-45/4-WT - $126.12 ",Camden Controls,CM-45/4-WT,126.12,61.2,120.0,"4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight, Satin Stainless Steel",,Camden,4.5 Square Push Plate Switch -  Concealed Screws -  SPDT Relay -  Handicap & Push to Open Symbol -  Weather Tight -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1057,,,,
"CAM1049 - 4 Round Surface Mount Box - 4"" Round Surface Mount Box -  - CM-47S - $44.14 ",Camden Controls,CM-47S,44.14,20.7,42.0,"4"" Round Surface Mount Box",,Camden,4 Round Surface Mount Box,MSRP Adjust,0.051,,,CAM1049,,,,
"CAM1058 - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Satin Stainless Steel - 6"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay, Satin Stainless Steel -  - CM-60/4 - $90.39 ",Camden Controls,CM-60/4,90.39,38.7,86.0,"6"" Round Switch w/Handicap & Push to Open Symbol, SPDT Relay, Satin Stainless Steel",,Camden,6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1058,,,,
"CAM1059 - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight -  Satin Stainless Steel - 6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight, Satin Stainless Steel -  - CM-60/4-WT - $126.12 ",Camden Controls,CM-60/4-WT,126.12,61.2,120.0,"6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight, Satin Stainless Steel",,Camden,6in Round Switch w/Handicap & Push to Open Symbol -  SPDT Relay -  Weather Tight -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1059,,,,
CAM1014 - Red Locking Mushroom Switch - Red Locking Mushroom Switch - CM135 - CM-6030 - $183.93 ,Camden Controls,CM-6030,183.93,105.0,175.0,Red Locking Mushroom Switch,,Doyle Security Products,Red Locking Mushroom Switch,MSRP Adjust,0.051,215.93,"Jun 21, 2022",CAM1014,CM135,Seclock,,Security Lock Price List
"CAM1050 - 6 Round Surface Mount Enclosure  - 6"" Round Surface Mount Enclosure -  - CM-69S - $48.35 ",Camden Controls,CM-69S,48.35,22.5,46.0,"6"" Round Surface Mount Enclosure",,Camden,6 Round Surface Mount Enclosure ,MSRP Adjust,0.051,,,CAM1050,,,,
"CAM1061 - Round Mounting Box -  Surface -  Extra Deep -  For Kinetic CM-60K Series Push Plates - Round Mounting Box, Surface, Extra Deep, For Kinetic CM-60K Series Push Plates -  - CM-69SER - $63.06 ",Camden Controls,CM-69SER,63.06,27.0,60.0,"Round Mounting Box, Surface, Extra Deep, For Kinetic CM-60K Series Push Plates",,Camden,Round Mounting Box -  Surface -  Extra Deep -  For Kinetic CM-60K Series Push Plates,MSRP Adjust,0.051,,,CAM1061,,,,
CAM1032 - Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels - Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels -  - CM-701U - $49.58 ,Camden Controls,CM-701U,49.58,30.99,49.58,Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels,,Alarm Products Distributors (APD),Camden CM-701U Blue Pull Station -  Universal -  w/ 5 Eng. -  Fr. & Sp. Message Labels,MSRP,0.051,,"Jun 21, 2022",CAM1032,,,,
CAM1062 - Full Function Dual Relay Receiver - Full Function Dual Relay Receiver -  - CM-RX-92 - $136.63 ,Camden Controls,CM-RX-92,136.63,58.5,130.0,Full Function Dual Relay Receiver,,Camden,Full Function Dual Relay Receiver,MSRP Adjust,0.051,,,CAM1062,,,,
CAM1038 - Advanced 1 Relay Receiver -  Kinetic/Lazerpoint - Advanced 1 Relay Receiver -  Kinetic/Lazerpoint -  - CM-RX90 - $88.00 ,Camden Controls,CM-RX90,88.0,52.8,88.0,Advanced 1 Relay Receiver -  Kinetic/Lazerpoint,,Seclock,Advanced 1 Relay Receiver -  Kinetic/Lazerpoint,MSRP,,,,CAM1038,,,,
"CAM1053 - Advanced 1 Channel Receiver -  915MHz - Advanced 1 Channel Receiver, 915MHz -  - CM-RX90 - $94.59 ",Camden Controls,CM-RX90,94.59,40.5,90.0,"Advanced 1 Channel Receiver, 915MHz",,Camden,Advanced 1 Channel Receiver -  915MHz,MSRP Adjust,0.051,,,CAM1053,,,,
CAM1037 - Camden Relay receiver -  12/24VAC/DC - Camden Relay receiver -  12/24VAC/DC -  - CM-RX92 - $130.00 ,Camden Controls,CM-RX92,130.0,78.0,130.0,Camden Relay receiver -  12/24VAC/DC,,Seclock,Camden Relay receiver -  12/24VAC/DC,MSRP,,,,CAM1037,,,,
CAM1042 - Lazer point wall switch transmitter 915 mhz - Lazer point wall switch transmitter 915 mhz -  - CM-TX-9 - $75.00 ,Camden Controls,CM-TX-9,75.0,45.0,75.0,Lazer point wall switch transmitter 915 mhz,,Seclock,Lazer point wall switch transmitter 915 mhz,MSRP,,,"May 22, 2023",CAM1042,,,,
CAM1000 - SS SLEAVE FOR 4X4 BOX - SS SLEAVE FOR 4X4 BOX - CD122 - CM67 - $33.13 ,Camden Controls,CM67,33.13,13.71,31.52,SS SLEAVE FOR 4X4 BOX,,Doyle Security Products,SS SLEAVE FOR 4X4 BOX,MSRP Adjust,0.051,31.52,"Jun 21, 2022",CAM1000,CD122,Seclock,,Doyle Price List
CAM1001 - SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL - SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL - CD123 - CM68AL - $33.13 ,Camden Controls,CM68AL,33.13,13.71,31.52,SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL,,Doyle Security Products,SHALOW SURFACEMOUNT KIT FOR 60/65 SERIES BUTTON - AL,MSRP Adjust,0.051,31.52,"Jun 21, 2022",CAM1001,CD123,Seclock,,Doyle Price List
CAM1019 - Camden Blue -  Emergency Pull for Door Release - Camden Blue -  Emergency Pull for Door Release - CM002 - CMD CM-703 - $80.18 ,Camden Controls,CMD CM-703,80.18,33.17,76.29,Camden Blue -  Emergency Pull for Door Release,,Alarm Products Distributors (APD),Camden Blue -  Emergency Pull for Door Release,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1019,CM002,,,
CAM1033 - 7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay - 7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay -  - CX-247-12 - $90.39 ,Camden Controls,CX-247-12,90.39,51.6,86.0,7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay,,Seclock,7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay,MSRP Adjust,0.051,,"May 22, 2023",CAM1033,,,,Doyle Price List
"CAM1051 - Grade 1 Electric Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Satin Stainless Steel - Grade 1 Electric Strike, 12/24 VDC, Fail Safe/Fail Secure, Satin Stainless Steel -  - CX-ED1079 - $199.69 ",Camden Controls,CX-ED1079,199.69,85.5,190.0,"Grade 1 Electric Strike, 12/24 VDC, Fail Safe/Fail Secure, Satin Stainless Steel",,Camden,Grade 1 Electric Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1051,,,,
"CAM1052 - Grade 1 Surface Mount Electric Rim Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Plug In Latch Monitor Assembly -  Satin Stainless Steel - Grade 1 Surface Mount Electric Rim Strike, 12/24 VDC, Fail Safe/Fail Secure, Plug In Latch Monitor Assembly, Satin Stainless Steel -  - CX-EPD1289L - $551.78 ",Camden Controls,CX-EPD1289L,551.78,236.25,525.0,"Grade 1 Surface Mount Electric Rim Strike, 12/24 VDC, Fail Safe/Fail Secure, Plug In Latch Monitor Assembly, Satin Stainless Steel",,Camden,Grade 1 Surface Mount Electric Rim Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Plug In Latch Monitor Assembly -  Satin Stainless Steel,MSRP Adjust,0.051,,,CAM1052,,,,
CAM1003 - CONCEALED POWER TRANSFER. - CONCEALED POWER TRANSFER. - CM104 - PT516M - $55.39 ,Camden Controls,PT516M,55.39,26.35,52.7,CONCEALED POWER TRANSFER.,,Doyle Security Products,CONCEALED POWER TRANSFER.,MSRP Adjust,0.051,52.7,"Jun 21, 2022",CAM1003,CM104,Seclock,,Doyle Price List
CAM1023 - 1 Relay Wireless Receiver 12/24 VAC/DC - 1 Relay Wireless Receiver 12/24 VAC/DC -  - RX91 - $84.08 ,Camden Controls,RX91,84.08,48.0,80.0,1 Relay Wireless Receiver 12/24 VAC/DC,,Seclock,1 Relay Wireless Receiver 12/24 VAC/DC,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1023,,,,
CAM1027 - 2 Relay Wireless Receiver -  12/24VAC/DC - 2 Relay Wireless Receiver -  12/24VAC/DC -  - RX92 - $126.12 ,Camden Controls,RX92,126.12,72.0,120.0,2 Relay Wireless Receiver -  12/24VAC/DC,,Seclock,2 Relay Wireless Receiver -  12/24VAC/DC,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1027,,,,
CAM1022 - Wall Switch Transmitter for Camden Door Controls - Wall Switch Transmitter for Camden Door Controls -  - TX-9 - $73.57 ,Camden Controls,TX-9,73.57,42.0,70.0,Wall Switch Transmitter for Camden Door Controls,,Seclock,Wall Switch Transmitter for Camden Door Controls,MSRP Adjust,0.051,,"Jun 21, 2022",CAM1022,,,,
LAR1000 - Cherrry switch -  DPDT - Cherrry switch -  DPDT -  - 212219 - $10.00 ,Larco,212219,10.0,3.5,,Cherrry switch -  DPDT,,Larco,Cherrry switch -  DPDT,Special,,,,LAR1000,,,,
LAR1010 - 300 MHz Replacement Transmitter - 300 MHz Replacement Transmitter -  - 216546 - $98.00 ,Larco,216546,98.0,56.5,,300 MHz Replacement Transmitter,,Larco,300 MHz Replacement Transmitter,Special,,,,LAR1010,,,,
LAR1003 - 4 1/2 Universal Adapter Plate -  4 1/2 Square Switch - 4 1/2 Universal Adapter Plate -  4 1/2 Square Switch -  - 232481 - $16.75 ,Larco,232481,16.75,8.38,,4 1/2 Universal Adapter Plate -  4 1/2 Square Switch,,Larco,4 1/2 Universal Adapter Plate -  4 1/2 Square Switch,Special,,,,LAR1003,,,,
LAR1002 - 4 1/2 Universal Adapter Plate -  4 1/2 Round Switch - 4 1/2 Universal Adapter Plate -  4 1/2 Round Switch -  - 232483 - $16.75 ,Larco,232483,16.75,8.38,,4 1/2 Universal Adapter Plate -  4 1/2 Round Switch,,Larco,4 1/2 Universal Adapter Plate -  4 1/2 Round Switch,Special,,,,LAR1002,,,,
"LAR1015 - 433 MHz Receiver - 433 MHz Receiver, Larco -  - 233804 - $75.00 ",Larco,233804,75.0,33.0,,"433 MHz Receiver, Larco",,Larco,433 MHz Receiver,Special,,,,LAR1015,,,,
LAR1013 - Single Channel 433 MHz Hand-Held Transmitter - Single Channel 433 MHz Hand-Held Transmitter -  - 234465 - $138.00 ,Larco,234465,138.0,60.0,,Single Channel 433 MHz Hand-Held Transmitter,,Larco,Single Channel 433 MHz Hand-Held Transmitter,Special,,,,LAR1013,,,,
LAR1087 - Transmitter -  2-Channel 433MHz - Transmitter -  2-Channel 433MHz -  - 234467 - $136.63 ,Larco,234467,136.63,69.5,130.0,Transmitter -  2-Channel 433MHz,,Larco,Transmitter -  2-Channel 433MHz,MSRP Adjust,0.051,,,LAR1087,,,,
"LAR1011 - Ultra-Small Replacement Transmitter - 433 MHz Ultra-Small Replacement TX With Push-On Terminals, Larco -  - 234475 - $61.00 ",Larco,234475,61.0,33.0,,"433 MHz Ultra-Small Replacement TX With Push-On Terminals, Larco",,Larco,Ultra-Small Replacement Transmitter,Special,,,,LAR1011,,,,
LAR1012 - Dual Channel 433 MHz Key Fob Transmitter - Dual Channel 433 MHz Key Fob Transmitter -  - 234518 - $61.00 ,Larco,234518,61.0,25.5,,Dual Channel 433 MHz Key Fob Transmitter,,Larco,Dual Channel 433 MHz Key Fob Transmitter,Special,,,,LAR1012,,,,
LAR1005 - Bollard Post Assy Clear HW (4x6x40) - Bollard Post Assy Clear HW (4x6x40) -  - 23498700 - $707.00 ,Larco,23498700,707.0,353.5,707.0,Bollard Post Assy Clear HW (4x6x40),,Larco,Bollard Post Assy Clear HW (4x6x40),MSRP,,,,LAR1005,,,,
LAR1006 - Bollard Post Assy Bronze HW (4x6x40) - Bollard Post Assy Bronze HW (4x6x40) -  - 23498713 - $490.00 ,Larco,23498713,490.0,313.8,,Bollard Post Assy Bronze HW (4x6x40),,Larco,Bollard Post Assy Bronze HW (4x6x40),Special,,,,LAR1006,,,,
LAR1014 - Vestibule Sequencer - 433 MHz Vestibule Sequencer -  - 235215 - $87.00 ,Larco,235215,87.0,39.0,,433 MHz Vestibule Sequencer,,Larco,Vestibule Sequencer,Special,,,,LAR1014,,,,
LAR1007 - U-WAV Touchless Sensor/Switch - Gray - U-WAV Touchless Sensor/Switch - Gray -  - 33681700 - $235.00 ,Larco,33681700,235.0,115.5,,U-WAV Touchless Sensor/Switch - Gray,,Larco,U-WAV Touchless Sensor/Switch - Gray,Special,,,,LAR1007,,,,
LAR1008 - U-WAV Touchless Sensor/Switch - Black - U-WAV Touchless Sensor/Switch - Black -  - 33681711 - $235.00 ,Larco,33681711,235.0,115.5,,U-WAV Touchless Sensor/Switch - Black,,Larco,U-WAV Touchless Sensor/Switch - Black,Special,,,,LAR1008,,,,
LAR1009 - U-WAV Touchless Sensor/Switch - White - U-WAV Touchless Sensor/Switch - White -  - 33681720 - $235.00 ,Larco,33681720,235.0,115.5,,U-WAV Touchless Sensor/Switch - White,,Larco,U-WAV Touchless Sensor/Switch - White,Special,,,,LAR1009,,,,
LAR1004 - 4 1/2 Round Adapter Plate -  4 1/2 Round Switch - 4 1/2 Round Adapter Plate -  4 1/2 Round Switch -  - 339609 - $16.75 ,Larco,339609,16.75,8.38,,4 1/2 Round Adapter Plate -  4 1/2 Round Switch,,Larco,4 1/2 Round Adapter Plate -  4 1/2 Round Switch,Special,,,,LAR1004,,,,
"LAR1088 - Press to Open Switch - Double Switch - Jamb Size - Plus Transmitter - (2) Jamb Switches ""HPTO"" LH-RH 4½"" Box + 433 MHz TX -  - 4J45U4 - $419.35 ",Larco,4J45U4,419.35,239.4,399.0,"(2) Jamb Switches ""HPTO"" LH-RH 4½"" Box + 433 MHz TX",,Larco,Press to Open Switch - Double Switch - Jamb Size - Plus Transmitter,MSRP Adjust,0.051,,,LAR1088,,,,
LAR1086 - Wall Switch Assembly -  4.5in Dual JS -   HPTO - Wall Switch Assembly -  4.5in Dual JS -   HPTO -  - 4J45UO - $290.00 ,Larco,4J45UO,290.0,145.0,290.0,Wall Switch Assembly -  4.5in Dual JS -   HPTO,,Larco,Wall Switch Assembly -  4.5in Dual JS -   HPTO,MSRP,,,,LAR1086,,,,
LAR1071 - 4 1/2 Round HPTO - 4 1/2 Round HPTO -  - 4R1 - $64.00 ,Larco,4R1,64.0,32.0,,4 1/2 Round HPTO,,Larco,4 1/2 Round HPTO,Special,,,,LAR1071,,,,
LAR1065 - 4 1/2 Round HPTO - 4 1/2 Round HPTO -  - 4R1A - $64.00 ,Larco,4R1A,64.0,32.0,,4 1/2 Round HPTO,,Larco,4 1/2 Round HPTO,Special,,,,LAR1065,,,,
LAR1067 - 4 1/2 Round HPTO w/Round Box - 4 1/2 Round HPTO w/Round Box -  - 4R1R0 - $96.00 ,Larco,4R1R0,96.0,48.0,,4 1/2 Round HPTO w/Round Box,,Larco,4 1/2 Round HPTO w/Round Box,Special,,,,LAR1067,,,,
LAR1063 - 4 1/2 Round HPTO w/Round Box + 433 MHz TX - 4 1/2 Round HPTO w/Round Box + 433 MHz TX -  - 4R1R4 - $158.00 ,Larco,4R1R4,158.0,71.5,,4 1/2 Round HPTO w/Round Box + 433 MHz TX,,Larco,4 1/2 Round HPTO w/Round Box + 433 MHz TX,Special,,,,LAR1063,,,,
LAR1073 - 4 1/2 Round HPTO w/Universal Box - 4 1/2 Round HPTO w/Universal Box -  - 4R1U0 - $96.00 ,Larco,4R1U0,96.0,48.0,,4 1/2 Round HPTO w/Universal Box,,Larco,4 1/2 Round HPTO w/Universal Box,Special,,,,LAR1073,,,,
"LAR1069 - Round HPTO w/Universal Box - 4 1/2 Round HPTO w/Universal Box + 433 MHz TX, Larco -  - 4R1U4 - $158.00 ",Larco,4R1U4,158.0,87.0,,"4 1/2 Round HPTO w/Universal Box + 433 MHz TX, Larco",,Larco,Round HPTO w/Universal Box,Special,,,,LAR1069,,,,
LAR1085 - Wireless Wall Switch -  4.5in Round -  433MHZ -  RH Arrow - Wireless Wall Switch -  4.5in Round -  433MHZ -  RH Arrow -  - 4R4U4 - $215.08 ,Larco,4R4U4,215.085,97.5,215.085,Wireless Wall Switch -  4.5in Round -  433MHZ -  RH Arrow,,Larco,Wireless Wall Switch -  4.5in Round -  433MHZ -  RH Arrow,MSRP,,,,LAR1085,,,,
LAR1081 - 4 1/2 Round HPTO -  LH - 4 1/2 Round HPTO -  LH -  - 4R5 - $88.28 ,Larco,4R5,88.28,42.0,84.0,4 1/2 Round HPTO -  LH,,Larco,4 1/2 Round HPTO -  LH,MSRP Adjust,0.051,,"Jun 21, 2022",LAR1081,,,,
LAR1084 - Wireless Wall Switch -  4.5in Round -  433MHZ -  LH Arrow - Wireless Wall Switch -  4.5in Round -  433MHZ -  LH Arrow -  - 4R5U4 - $215.08 ,Larco,4R5U4,215.085,97.5,215.085,Wireless Wall Switch -  4.5in Round -  433MHZ -  LH Arrow,,Larco,Wireless Wall Switch -  4.5in Round -  433MHZ -  LH Arrow,MSRP,,,,LAR1084,,,,
LAR1075 - 4 1/2 Square HPTO - 4 1/2 Square HPTO -  - 4S1 - $64.00 ,Larco,4S1,64.0,32.0,,4 1/2 Square HPTO,,Larco,4 1/2 Square HPTO,Special,,,,LAR1075,,,,
LAR1077 - 4 1/2 Square HPTO w/Universal Box - 4 1/2 Square HPTO w/Universal Box -  - 4S1U0 - $96.00 ,Larco,4S1U0,96.0,61.0,,4 1/2 Square HPTO w/Universal Box,,Larco,4 1/2 Square HPTO w/Universal Box,Special,,,,LAR1077,,,,
LAR1079 - 4 1/2   Box  Press To Open Button - 4 1/2 Square HPTO w/Universal Box + 433 MHz TX -  - 4S1U4 - $158.00 ,Larco,4S1U4,158.0,87.0,,4 1/2 Square HPTO w/Universal Box + 433 MHz TX,,Larco,4 1/2   Box  Press To Open Button,Special,,,,LAR1079,,,,
LAR1089 - 4-1/2in Box with Transmitter - PTO - 4-1/2in Box with Transmitter - PTO -  - 4S2U4 - $166.06 ,Larco,4S2U4,166.06,87.0,158.0,4-1/2in Box with Transmitter - PTO,,Larco,4-1/2in Box with Transmitter - PTO,MSRP Adjust,0.051,,,LAR1089,,,,
LAR1043 - 6in Round PTO - 6in Round PTO -  - 6R1 - $64.00 ,Larco,6R1,64.0,32.0,,6in Round PTO,,Larco,6in Round PTO,Special,,,,LAR1043,,,,
"LAR1090 - Round HTPO Button with Round Box - 6"" Round ""HPTO""  -  - 6R1A  - $112.46 ",Larco,6R1A ,112.46,50.0,107.0,"6"" Round ""HPTO"" ",,Larco,Round HTPO Button with Round Box,MSRP Adjust,0.051,,,LAR1090,,,,
LAR1039 - 6in Round HPTO w/Round Box - 6in Round HPTO w/Round Box -  - 6R1R0 - $96.00 ,Larco,6R1R0,96.0,48.0,,6in Round HPTO w/Round Box,,Larco,6in Round HPTO w/Round Box,Special,,,,LAR1039,,,,
LAR1035 - 6in Round HPTO w/Round Box + 433 MHz TX - 6in Round HPTO w/Round Box + 433 MHz TX -  - 6R1R4 - $158.00 ,Larco,6R1R4,158.0,71.5,,6in Round HPTO w/Round Box + 433 MHz TX,,Larco,6in Round HPTO w/Round Box + 433 MHz TX,Special,,,,LAR1035,,,,
LAR1037 - 6in Round HPTO - 6in Round HPTO -  - 6R1RA - $64.00 ,Larco,6R1RA,64.0,32.0,,6in Round HPTO,,Larco,6in Round HPTO,Special,,,,LAR1037,,,,
LAR1045 - 6in Round HPTO w/Universal Box - 6in Round HPTO w/Universal Box -  - 6R1U0 - $96.00 ,Larco,6R1U0,96.0,48.0,,6in Round HPTO w/Universal Box,,Larco,6in Round HPTO w/Universal Box,Special,,,,LAR1045,,,,
LAR1041 - 6in Round HPTO w/Universal Box + 433 MHz TX - 6in Round HPTO w/Universal Box + 433 MHz TX -  - 6R1U4 - $158.00 ,Larco,6R1U4,158.0,71.5,,6in Round HPTO w/Universal Box + 433 MHz TX,,Larco,6in Round HPTO w/Universal Box + 433 MHz TX,Special,,,,LAR1041,,,,
LAR1049 - 6  Square HPTO - 6  Square HPTO -  - 6S1 - $64.00 ,Larco,6S1,64.0,32.0,,6  Square HPTO,,Larco,6  Square HPTO,Special,,,,LAR1049,,,,
LAR1051 - 6 Square HPTO w/Universal Box - 6 Square HPTO w/Universal Box -  - 6S1U0 - $96.00 ,Larco,6S1U0,96.0,48.0,,6 Square HPTO w/Universal Box,,Larco,6 Square HPTO w/Universal Box,Special,,,,LAR1051,,,,
LAR1047 - 6 Square plain w/Universal Box + 433 MHz TXz - 6 Square plain w/Universal Box + 433 MHz TXz -  - 6S1U4 - $158.00 ,Larco,6S1U4,158.0,71.5,,6 Square plain w/Universal Box + 433 MHz TXz,,Larco,6 Square plain w/Universal Box + 433 MHz TXz,Special,,,,LAR1047,,,,
LAR1055 - Copper 4 1/2 Square HPTO w/Universal Box - Copper 4 1/2 Square HPTO w/Universal Box -  - C4 S1U0 - $136.00 ,Larco,C4 S1U0,136.0,62.5,,Copper 4 1/2 Square HPTO w/Universal Box,,Larco,Copper 4 1/2 Square HPTO w/Universal Box,Special,,,,LAR1055,,,,
LAR1057 - Copper 4 1/2 Round HPTO - Copper 4 1/2 Round HPTO -  - C4R1A - $104.00 ,Larco,C4R1A,104.0,47.0,,Copper 4 1/2 Round HPTO,,Larco,Copper 4 1/2 Round HPTO,Special,,,,LAR1057,,,,
LAR1059 - Copper 4 1/2 Round HPTO w/Round Box - Copper 4 1/2 Round HPTO w/Round Box -  - C4R1AR0 - $136.00 ,Larco,C4R1AR0,136.0,62.5,,Copper 4 1/2 Round HPTO w/Round Box,,Larco,Copper 4 1/2 Round HPTO w/Round Box,Special,,,,LAR1059,,,,
LAR1061 - Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX - Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX -  - C4R1R4 - $184.00 ,Larco,C4R1R4,184.0,86.0,,Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX,,Larco,Copper 4 1/2 Round HPTO w/Round Box + 433 MHz TX,Special,,,,LAR1061,,,,
LAR1053 - Copper 4 1/2 Square HPTO - Copper 4 1/2 Square HPTO -  - C4S1 - $104.00 ,Larco,C4S1,104.0,47.0,,Copper 4 1/2 Square HPTO,,Larco,Copper 4 1/2 Square HPTO,Special,,,,LAR1053,,,,
LAR1029 - Copper 6in Round HPTO - Copper 6in Round HPTO -  - C6R1A - $104.00 ,Larco,C6R1A,104.0,49.5,,Copper 6in Round HPTO,,Larco,Copper 6in Round HPTO,Special,,,,LAR1029,,,,
LAR1031 - Copper 6in Round HPTO w/Round Box - Copper 6in Round HPTO w/Round Box -  - C6R1R0 - $136.00 ,Larco,C6R1R0,136.0,65.0,,Copper 6in Round HPTO w/Round Box,,Larco,Copper 6in Round HPTO w/Round Box,Special,,,,LAR1031,,,,
LAR1033 - Copper 6in Round HPTO w/Round Box + 433 MHz TX - Copper 6in Round HPTO w/Round Box + 433 MHz TX -  - C6R1R4 - $184.00 ,Larco,C6R1R4,184.0,88.5,,Copper 6in Round HPTO w/Round Box + 433 MHz TX,,Larco,Copper 6in Round HPTO w/Round Box + 433 MHz TX,Special,,,,LAR1033,,,,
LAR1023 - Copper 6in Square HPTO - Copper 6in Square HPTO -  - C6S1 - $104.00 ,Larco,C6S1,104.0,49.5,,Copper 6in Square HPTO,,Larco,Copper 6in Square HPTO,Special,,,,LAR1023,,,,
LAR1025 - Copper 6in Square HPTO w /Universal Box - Copper 6in Square HPTO w /Universal Box -  - C6S1U0 - $136.00 ,Larco,C6S1U0,136.0,65.0,,Copper 6in Square HPTO w /Universal Box,,Larco,Copper 6in Square HPTO w /Universal Box,Special,,,,LAR1025,,,,
LAR1027 - Copper 6in Square HPTO w /Universal Box + 433 MHz TX - Copper 6in Square HPTO w /Universal Box + 433 MHz TX -  - C6S1U4 - $198.00 ,Larco,C6S1U4,198.0,88.5,,Copper 6in Square HPTO w /Universal Box + 433 MHz TX,,Larco,Copper 6in Square HPTO w /Universal Box + 433 MHz TX,Special,,,,LAR1027,,,,
LAR1083 - Jamb Switch Deluxe -  Plain - Jamb Switch Deluxe -  Plain -  - J00 - $75.00 ,Larco,J00,75.0,38.0,75.0,Jamb Switch Deluxe -  Plain,,Larco,Jamb Switch Deluxe -  Plain,MSRP,,,,LAR1083,,,,
LAR1020 - Jamb Switch HPTO - Jamb Switch HPTO -  - J01 - $64.00 ,Larco,J01,64.0,38.0,,Jamb Switch HPTO,,Larco,Jamb Switch HPTO,Special,,,,LAR1020,,,,
LAR1018 - Jamb Switch HPTO w/box - Jamb Switch HPTO w/box -  - J01J0 - $76.00 ,Larco,J01J0,76.0,33.0,,Jamb Switch HPTO w/box,,Larco,Jamb Switch HPTO w/box,Special,,,,LAR1018,,,,
"LAR1016 - Jamb Switch HPTO w/box - Jamb Switch HPTO w/box + 433 MHz TX, Larco -  - J01J4 - $124.00 ",Larco,J01J4,124.0,69.5,,"Jamb Switch HPTO w/box + 433 MHz TX, Larco",,Larco,Jamb Switch HPTO w/box,Special,,,,LAR1016,,,,
LAR1021 - Jamb Switch HPTO (with transmitter switch) - Jamb Switch HPTO (with transmitter switch) -  - J01TX - $72.00 ,Larco,J01TX,72.0,31.25,,Jamb Switch HPTO (with transmitter switch),,Larco,Jamb Switch HPTO (with transmitter switch),Special,,,,LAR1021,,,,
LAR1022 - Jamb Switch Box (no switch) - Jamb Switch Box (no switch) -  - JJ0 - $18.00 ,Larco,JJ0,18.0,6.75,,Jamb Switch Box (no switch),,Larco,Jamb Switch Box (no switch),Special,,,,LAR1022,,,,
LAR1001 - weatherproofing option - weatherproofing option -  - W - $24.00 ,Larco,W,24.0,11.0,,weatherproofing option,,Larco,weatherproofing option,Special,,,,LAR1001,,,,
LAR1072 - Weatherproof 4 1/2 Round HPTO - Weatherproof 4 1/2 Round HPTO -  - W4R1 - $88.00 ,Larco,W4R1,88.0,43.0,,Weatherproof 4 1/2 Round HPTO,,Larco,Weatherproof 4 1/2 Round HPTO,Special,,,,LAR1072,,,,
LAR1066 - Weatherproof 4 1/2 Round HPTO - Weatherproof 4 1/2 Round HPTO -  - W4R1A - $88.00 ,Larco,W4R1A,88.0,43.0,,Weatherproof 4 1/2 Round HPTO,,Larco,Weatherproof 4 1/2 Round HPTO,Special,,,,LAR1066,,,,
