Record ID,Manufacturer,Manufacturer Part Number,Price,Cost,MSRP,Internal Description,Frequently Used,Supplier,Description,Pricing Strategy,MSRP Adjustment,QBE Price,Last Pricing Update,Short Number,Old Short Number,Secondary Supplier,Tertiary Supplier,Pricing Source
"MOT1014 - Motion Access Condor Swing Low Energy Operator – LH -  Center Hung -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Center Hung -  Dark Bronze -  - MAC-LL3D-XX - $2,300.00 ",Motion Access,MAC-LL3D-XX,2300.0,1072.0,2300.0,Motion Access Condor Swing Low Energy Operator â€“ LH -  Center Hung -  Dark Bronze,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – LH -  Center Hung -  Dark Bronze,Special,,,,MOT1014,,,,
"MOT1011 - Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Silver - Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Silver -  - MAC-LL4C-XX - $2,300.00 ",Motion Access,MAC-LL4C-XX,2300.0,1072.0,2300.0,Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Silver,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Silver,Special,,,,MOT1011,,,,
"MOT1015 - Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Dark Bronze -  - MAC-LL4D-XX - $2,300.00 ",Motion Access,MAC-LL4D-XX,2300.0,1072.0,2300.0,Motion Access Condor Swing Low Energy Operator â€“ LH -  Concealed Offset Pivot -  Dark Bronze,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – LH -  Concealed Offset Pivot -  Dark Bronze,Special,,,,MOT1015,,,,
"MOT1025 - Motion Access - Condor Swing Operator -  Aluminum - Motion Access - Condor Swing Low Energy Operato, Pair, Push Arm/Out Swing -  Aluminum -  - MAC-LP1C-XX - $4,688.87 ",Motion Access,MAC-LP1C-XX,4688.8677355612,2066.0,4688.8677355612,"Motion Access - Condor Swing Low Energy Operato, Pair, Push Arm/Out Swing -  Aluminum",,"Motion Access, LLC",Motion Access - Condor Swing Operator -  Aluminum,MSRP,,,,MOT1025,,,,
"MOT1024 - Motion Access Condor Swing Low Energy Operator – PAIR -  Push Arm/Out Swing -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ PAIR -  Push Arm/Out Swing -  Dark Bronze -  - MAC-LP1D-72 - $4,688.87 ",Motion Access,MAC-LP1D-72,4688.8677355612,2066.0,4688.8677355612,Motion Access Condor Swing Low Energy Operator â€“ PAIR -  Push Arm/Out Swing -  Dark Bronze,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – PAIR -  Push Arm/Out Swing -  Dark Bronze,MSRP,,,,MOT1024,,,,
"MOT1019 - Motion Access - Condor Swing Low Energy Operator -  Aluminum - Motion Access - Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing - 36 inch Can -  Aluminum -  - MAC-LR1C-36 - $2,300.00 ",Motion Access,MAC-LR1C-36,2300.000000031,1110.0,2300.000000031,Motion Access - Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing - 36 inch Can -  Aluminum,,"Motion Access, LLC",Motion Access - Condor Swing Low Energy Operator -  Aluminum,MSRP,,,,MOT1019,,,,
"MOT1026 - Motion Access Condor Swing Low Energy Operator – RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can - Motion Access Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can -  - MAC-LR1C-42 - $2,300.00 ",Motion Access,MAC-LR1C-42,2300.0,1072.0,2300.0,Motion Access Condor Swing Low Energy Operator â€“ RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – RH -  Push Arm/Out Swing -  Aluminum - 42 inch Can,MSRP,,,,MOT1026,,,,
"MOT1000 - Motion Access Condor Swing Low Energy Operator – Push Arm/Out Swing -  Silver - Motion Access Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Silver -  - MAC-LR1C-XX - $2,300.00 ",Motion Access,MAC-LR1C-XX,2300.0,1072.0,2300.0,Motion Access Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Silver,,"Motion Access, LLC",Motion Access Condor Swing Low Energy Operator – Push Arm/Out Swing -  Silver,Special,,,,MOT1000,,,,
"MOT1018 - Motion Access - Condor Swing  Operator – Dark Bronze - Motion Access - Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Dark Bronze -  - MAC-LR1D-36 - $2,300.00 ",Motion Access,MAC-LR1D-36,2300.000000031,1110.0,2300.000000031,Motion Access - Condor Swing Low Energy Operator - RH -  Push Arm/Out Swing -  Dark Bronze,,"Motion Access, LLC",Motion Access - Condor Swing  Operator – Dark Bronze,MSRP,,,,MOT1018,,,,
"MOT1004 - Motion Access - Condor Swing Low Energy Operator -  Dark Bronze - Motion Access - Condor Swing Low Energy Operator – RH - Push Arm/Out Swing -  Dark Bronze -  - MAC-LR1D-XX - $2,300.00 ",Motion Access,MAC-LR1D-XX,2300.0,1072.0,2300.0,Motion Access - Condor Swing Low Energy Operator – RH - Push Arm/Out Swing -  Dark Bronze,,"Motion Access, LLC",Motion Access - Condor Swing Low Energy Operator -  Dark Bronze,Special,,,,MOT1004,,,,
"MOT1021 - Motion Access - Condor Swing Low Energy Operator  -  Silver - Motion Access - Condor Swing Low Energy Operator – RH, 36 Inch Can, Pull Arm/In Swing -  Silver -  - MAC-LR2C-36 - $2,300.00 ",Motion Access,MAC-LR2C-36,2300.0,1072.0,2300.0,"Motion Access - Condor Swing Low Energy Operator – RH, 36 Inch Can, Pull Arm/In Swing -  Silver",,"Motion Access, LLC",Motion Access - Condor Swing Low Energy Operator  -  Silver,MSRP,,,,MOT1021,,,,
