Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
110A02-S,,142,,144.84,,,,,
110A03-P,,158.5,,161.34,,,,,
110A03-S,,142,,144.84,,,,,
110A04-P,,158.5,129.7,161.34,131.12,,,169.86,
110A04-S,,142,120.7,144.84,122.12,,,153.36,
110A05-P,,158.5,129.7,161.34,131.12,,,169.86,
110A05-S,,142,120.7,144.84,122.12,,,153.36,
110A06-P,,167.5,,170.52,,,,179.58,
110A06-S,,151,,154.02,,,,163.08,
110A07-P,,167.5,,170.52,,,,179.58,
110A07-S,,151,,154.02,,,,163.08,
110A08L,,122,,,,,,,
110A08-P,,292.5,,298.02,,,,314.58,
110A08-S,,276,,281.52,,,,298.08,
110A09L,,152,,,,,,,
110A09-P,,319.5,,325.56,,,,343.74,
110A09-S,,303,,309.06,,,,327.24,
110A10,,105,,,,,,,
110A12,,105,,,,,,,
110A14,,54.1,,,,,,,
110A16,,81.6,,,,,,,
110A17,,54.1,,,,,,,
110A18,,81.6,,,,,,,
110A1911,,87.6,,,,,,,
110A1912,,87.6,,,,,,,
110A1921,,87.6,,,,,,,
110A1922,,87.6,,,,,,,
110A1923,,87.6,,,,,,,
110A20,,41.6,,,,,,,
110A21,,41.6,,,,,,,
110A22,,60.3,,,,,,,
110A23,,60.3,,,,,,,
110A1913,,87.6,,,,,,,
11C281,,245,,,,,,,
11C282,,245,,,,,,,
11C301-P,,396.5,,404.1,,,,426.9,
11C301-S,,380,,387.6,,,,410.4,
11C302-P,,396.5,,404.1,,,,426.9,
11C302-S,,380,,387.6,,,,410.4,
11C303-P,,396.5,,404.1,,,,426.9,
11C303-S,,380,,387.6,,,,410.4,
11C304-P,,396.5,,404.1,,,,426.9,
11C304-S,,380,,387.6,,,,410.4,
11C305-P,,396.5,,404.1,,,,426.9,
11C305-S,,380,,387.6,,,,410.4,
11C306-P,,396.5,,404.1,,,,426.9,
11C306-S,,380,,387.6,,,,410.4,
11C30L-P,,311.95,,319.55,,,,342.35,
11C30L-S,,295.45,,303.05,,,,325.85,
11C311-P,,402.5,,410.22,,,,433.38,
11C311-S,,386,,393.72,,,,416.88,
11C312-P,,402.5,,410.22,,,,433.38,
11C312-S,,386,,393.72,,,,416.88,
11C313-P,,402.5,,410.22,,,,433.38,
11C313-S,,386,,393.72,,,,416.88,
11C314-P,,402.5,,410.22,,,,433.38,
11C314-S,,386,,393.72,,,,416.88,
11C315-P,,402.5,,410.22,,,,433.38,
11C315-S,,386,,393.72,,,,416.88,
11C316-P,,402.5,,410.22,,,,433.38,
11C316-S,,386,,393.72,,,,416.88,
11C31L-P,,317.95,,325.67,,,,348.83,
11C31L-S,,301.45,,309.17,,,,332.33,
11C321-P,,611,,622.56,,,,657.24,
11C321-S,,578,,589.56,,,,624.24,
11C322-P,,611,,622.56,,,,657.24,
11C322-S,,578,,589.56,,,,624.24,
11C323-P,,611,,622.56,,,,657.24,
11C323-S,,578,,589.56,,,,624.24,
11C324-P,,611,,622.56,,,,657.24,
11C324-S,,578,,589.56,,,,624.24,
11C325-P,,611,,622.56,,,,657.24,
11C325-S,,578,,589.56,,,,624.24,
11C326-P,,611,,622.56,,,,657.24,
11C326-S,,578,,589.56,,,,624.24,
11C32L-P,,526.45,,538.01,,,,572.69,
11C32L-S,,493.45,,505.01,,,,539.69,
11C341-P,,389.5,,396.96,,,,419.34,
11C341-S,,373,,380.46,,,,402.84,
11C342-P,,389.5,,396.96,,,,419.34,
11C342-S,,373,,380.46,,,,402.84,
11C391-P,,389.5,,396.96,,,,419.34,
11C391-S,,373,,380.46,,,,402.84,
11C392-P,,389.5,,396.96,,,,419.34,
11C392-S,,373,,380.46,,,,402.84,
11C401,,226,,226,,,,226,
11C402,,226,,226,,,,226,
11C405,,226,,226,,,,226,
11C406,,226,,226,,,,226,
11C421,,276,,276,,,,276,
11C422,,276,,276,,,,276,
11C425,,276,,276,,,,276,
11C426,,276,,276,,,,276,
11C601 C,,,,,,,1136.59,,
11C601 S,,,,,,,1033.84,,
11C601-P,,293.5,244.45,299.04,247.22,,,315.66,
11C601-S,,277,235.45,282.54,238.22,,,299.16,
11C602 C,,,,,,,1136.59,,
11C602 S,,,,,,,1033.84,,
11C602-P,,293.5,244.45,299.04,247.22,,,315.66,
11C602-S,,277,235.45,282.54,238.22,,,299.16,
11C603 C,,,,,,,1136.59,,
11C603 S,,,,,,,1033.84,,
11C603-P,,293.5,244.45,299.04,247.22,,,315.66,
11C603-S,,277,235.45,282.54,238.22,,,299.16,
11C604 C,,,,,,,1136.59,,
11C604 S,,,,,,,1033.84,,
11C604-P,,293.5,244.45,299.04,247.22,,,315.66,
11C604-S,,277,235.45,282.54,238.22,,,299.16,
11C605 C,,,,,,,1136.59,,
11C605 S,,,,,,,1033.84,,
11C605-P,,293.5,244.45,299.04,247.22,,,315.66,
11C605-S,,277,235.45,282.54,238.22,,,299.16,
11C606 C,,,,,,,1136.59,,
11C606 S,,,,,,,1033.84,,
11C606-P,,293.5,244.45,299.04,247.22,,,315.66,
11C606-S,,277,235.45,282.54,238.22,,,299.16,
11C60L C,,,,,,,1052.04,,
11C60L S,,,,,,,949.29,,
11C60L-P,,208.95,159.9,214.49,162.67,,,231.11,
11C60L-S,,192.45,150.9,197.99,153.67,,,214.61,
11C611-P,,299.5,,305.16,,,,322.14,
11C611-S,,283,,288.66,,,,305.64,
11C612-P,,299.5,,305.16,,,,322.14,
11C612-S,,283,,288.66,,,,305.64,
11C613-P,,299.5,,305.16,,,,322.14,
11C613-S,,283,,288.66,,,,305.64,
11C614-P,,299.5,,305.16,,,,322.14,
11C614-S,,283,,288.66,,,,305.64,
11C615-P,,299.5,,305.16,,,,322.14,
11C615-S,,283,,288.66,,,,305.64,
11C616-P,,299.5,,305.16,,,,322.14,
11C616-S,,283,,288.66,,,,305.64,
11C61L-P,,214.95,,220.61,,,,237.59,
11C61L-S,,198.45,,204.11,,,,221.09,
11C621 S,,,,,,,1143.34,,
11C621-P,,403,332.5,410.4,336.2,,,432.6,
11C621-S,,370,314.5,377.4,318.2,,,399.6,
11C622 S,,,,,,,1143.34,,
11C622-P,,403,332.5,410.4,336.2,,,432.6,
11C622-S,,370,314.5,377.4,318.2,,,399.6,
11C623 S,,,,,,,1143.34,,
11C623-P,,403,332.5,410.4,336.2,,,432.6,
11C623-S,,370,314.5,377.4,318.2,,,399.6,
11C624 S,,,,,,,1143.34,,
11C624-P,,403,332.5,410.4,336.2,,,432.6,
11C624-S,,370,314.5,377.4,318.2,,,399.6,
11C625 S,,,,,,,1143.34,,
11C625-P,,403,332.5,410.4,336.2,,,432.6,
11C625-S,,370,314.5,377.4,318.2,,,399.6,
11C626 S,,,,,,,1143.34,,
11C626-P,,403,332.5,410.4,336.2,,,432.6,
11C626-S,,370,314.5,377.4,318.2,,,399.6,
11C62L S,,,,,,,1058.79,,
11C62L-P,,318.45,247.95,325.85,251.65,,,348.05,
11C62L-S,,285.45,229.95,292.85,233.65,,,315.05,
11C631-P,,456,377.55,464.46,381.78,,,489.84,
11C631-S,,423,359.55,431.46,363.78,,,456.84,
11C631T-P,,456,377.55,464.46,381.78,,,489.84,
11C631T-S,,423,359.55,431.46,363.78,,,456.84,
11C632-P,,456,377.55,464.46,381.78,,,489.84,
11C632-S,,423,359.55,431.46,363.78,,,456.84,
11C632T-P,,456,377.55,464.46,381.78,,,489.84,
