Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
50-0573L,,217,,,,,,,
50-0574L,,224,,,,,,,
500020 S,,,,,,,910.5,,
500020-P,,119.5,,121.56,,,,127.74,
500020-S,,103,,105.06,,,,111.24,
5002201-P,,422.5,,430.62,,,,454.98,
5002201-S,,406,,414.12,,,,438.48,
5002211-P,,422.5,,430.62,,,,454.98,
5002211-S,,406,,414.12,,,,438.48,
5003201-P,,422.5,,430.62,,,,454.98,
5003201-S,,406,,414.12,,,,438.48,
5003211-P,,422.5,,430.62,,,,454.98,
5003211-S,,406,,414.12,,,,438.48,
5005511 G,,,,,,,603.47,,
5005511 S,,,,,,,1070.72,,
5005511 DA,,,,,,,699.82,,
5005511-P,,293.5,,299.04,,276.69,,,
5005511-S,,277,,282.54,,260.19,,,
5005521 G,,,,,,,608.47,,
5005521 S,,,,,,,1075.72,,
5005521 DA,,,,,,,704.82,,
5005521-P,,298.5,,304.14,,281.69,,,
5005521-S,,282,,287.64,,265.19,,,
5005531 G,,,,,,,603.47,,
5005531 S,,,,,,,1070.72,,
5005531 DA,,,,,,,699.82,,
5005531-P,,293.5,,299.04,,276.69,,,
5005531-S,,277,,282.54,,260.19,,,
5005541 G,,,,,,,608.47,,
5005541 S,,,,,,,1075.72,,
5005541 DA,,,,,,,704.82,,
5005541-P,,298.5,,304.14,,281.69,,,
5005541-S,,282,,287.64,,265.19,,,
5005711 G,,,,,,,603.47,,
5005711 S,,,,,,,1070.72,,
5005711 DA,,,,,,,699.82,,
5005711-P,,293.5,,299.04,,276.69,,,
5005711-S,,277,,282.54,,260.19,,,
5005721 G,,,,,,,608.47,,
5005721 S,,,,,,,1075.72,,
5005721 DA,,,,,,,704.82,,
5005721-P,,298.5,,304.14,,281.69,,,
5005721-S,,282,,287.64,,265.19,,,
5005731 G,,,,,,,603.47,,
5005731 S,,,,,,,1070.72,,
5005731 DA,,,,,,,699.82,,
5005731-P,,293.5,,299.04,,276.69,,,
5005731-S,,277,,282.54,,260.19,,,
5005741 G,,,,,,,608.47,,
5005741 S,,,,,,,1075.72,,
5005741 DA,,,,,,,704.82,,
5005741-P,,298.5,,304.14,,281.69,,,
5005741-S,,282,,287.64,,265.19,,,
5008201-P,,398.5,,406.14,,,,429.06,
5008201-S,,382,,389.64,,,,412.56,
5008211-P,,398.5,,406.14,,,,429.06,
5008211-S,,382,,389.64,,,,412.56,
5009201-P,,398.5,,406.14,,,,429.06,
5009201-S,,382,,389.64,,,,412.56,
5009211-P,,398.5,,406.14,,,,429.06,
5009211-S,,382,,389.64,,,,412.56,
50-74201,,202,,,,,,,
50-74211,,202,,,,,,,
50-75201,,202,,,,,,,
50-75211,,202,,,,,,,
50762011,,,,,,,220.46,,
50762014,,,,,,,247.3,,
50762111,,,,,,,220.46,,
50762114,,,,,,,247.3,,
50772011,,,,,,,220.46,,
50772014,,,,,,,247.3,,
50772111,,,,,,,220.46,,
50772114,,,,,,,247.3,,
510600 C,,,,,,,1169.02,,
510600 G,,,,,,,437.36,,
510600 S,,,,,,,1092.61,,
510600 DA,,,,,,,460.63,,
510600-P,,141.5,77.39,144,78.64,123.14,,151.5,132.47
510600-S,,125,68.39,127.5,69.64,106.64,,135,115.97
510800 G,,,,,,,344.29,,
510800 S,,,,,,,879.05,,
510800 DA,,,,,,,395.93,,
510800-P,,76.8,,78.01,,60.11,,,
510800-S,,60.3,,61.51,,43.61,,,
52110040,,196,,,,,,,
52111040,,196,,,,,,,
52120040,,196,,,,,,,
52121040,,196,,,,,,,
526000,,,,125.33,,,,,
526001-P,,,,212.34,,,,223.86,
526001-S,,,,195.84,,,,207.36,
526002,,,,153.24,,,,,
526010,,,,125.33,,,,,
526011-P,,,,212.34,,,,223.86,
526011-S,,,,195.84,,,,207.36,
526012,,,,153.24,,,,,
526100,,,,125.33,,,,,
526101-P,,,,212.34,,,,223.86,
526101-S,,,,195.84,,,,207.36,
526102,,,,153.24,,,,,
526110,,,,125.33,,,,,
526111-P,,,,212.34,,,,223.86,
526111-S,,,,195.84,,,,207.36,
526112,,,,153.24,,,,,
526200,,,,125.33,,,,,
526201-P,,,,212.34,,,,223.86,
526201-S,,,,195.84,,,,207.36,
526202,,,,153.24,,,,,
526210,,,,125.33,,,,,
526211-P,,,,212.34,,,,223.86,
526211-S,,,,195.84,,,,207.36,
526212,,,,153.24,,,,,
526300,,,,125.33,,,,,
526301-P,,,,212.34,,,,223.86,
526301-S,,,,195.84,,,,207.36,
526302,,,,153.24,,,,,
526310,,,,125.33,,,,,
526311-P,,,,212.34,,,,223.86,
526311-S,,,,195.84,,,,207.36,
526312,,,,153.24,,,,,
5292000-P,,234.5,169.07,238.86,172.09,215.95,,,
5292000-S,,218,160.07,222.36,155.59,198.63,,,
5292000 DA,,,,,,,632.82,,
5292001-P,,234.5,169.07,238.86,172.09,215.95,,,
5292001-S,,$218.00 ,160.07,222.36,155.59,198.63,,,
5292001 DA,,,,,,,632.82,,
5292100-P,,234.5,169.07,238.86,172.09,215.95,,,
5292100-S,,218,160.07,222.36,155.59,198.63,,,
5292101-P,,234.5,169.07,238.86,172.09,215.95,,,
5292101-S,,218,160.07,222.36,155.59,198.63,,,
5293000 G,,,,,,,550.91,,
5293000-P,,234.5,169.07,238.86,171.25,216.14,,251.94,232.91
5293000-S,,218,160.07,222.36,162.25,199.64,,235.44,216.41
52930L0,,102.64,,,,,,,
5431500-P,,,,,,184.76,,,199.17
5431500-S,,,,,,168.26,,,182.67
54315K0,,73.91,,,,,,,
54315L0,,73.91,,,,,,,
54315R0-P,,,,,,184.76,,,199.17
54315R0-S,,,,,,168.26,,,182.67
5431F00-P,,,,,,190.76,,,205.65
5431F00-S,,,,,,174.26,,,189.15
5431FK0,,79.91,,,,,,,
5431FL0,,79.91,,,,,,,
5431FR0-P,,,,,,190.76,,,205.65
5431FR0-S,,,,,,174.26,,,189.15
5433500-P,,,,,,184.76,,,199.17
5433500-S,,,,,,168.26,,,182.67
54335R0-P,,,,,,184.76,,,199.17
54335R0-S,,,,,,168.26,,,182.67
5433F00-P,,,,,,190.76,,,205.65
5433F00-S,,,,,,174.26,,,189.15
5433FR0-P,,,,,,190.76,,,205.65
5433FR0-S,,,,,,174.26,,,189.15
5451500 G,,,,,,,537.41,,
5451500 DA,,,,,,,617.98,,
5451500-P,,215.5,149.05,219.48,151.04,196.76,,231.42,212.13
5451500-S,,199,140.05,202.98,142.04,180.26,,214.92,195.63
54515K0,,72.43,,,,,,,
54515L0,,72.43,,,,,,,
54515R0 G,,,,,,,537.41,,
54515R0-P,,215.5,149.05,219.48,151.04,196.76,,231.42,212.13
54515R0-S,,199,140.05,202.98,142.04,180.26,,214.92,195.63
54515X0 S,,,,,,,1183.74,,
5451F00 G,,,,,,,541.41,,
5451F00 DA,,,,,,,621.98,,
5451F00-P,,219.5,153.05,223.56,155.08,200.76,,235.74,216.45
5451F00-S,,203,144.05,207.06,146.08,184.26,,219.24,199.95
5451FK0,,76.43,,,,,,,
5451FL0,,76.43,,,,,,,
5451FR0 G,,,,,,,541.41,,
5451FR0-P,,219.5,153.05,223.56,155.08,200.76,,235.74,216.45
5451FR0-S,,203,144.05,207.06,146.08,184.26,,219.24,199.95
5451FX0 S,,,,,,,1187.74,,
5452500 G,,,,,,,565.41,,
5452500 DA,,,,,,,645.98,,
5452500-P,,243.5,177.05,248.04,179.32,224.76,,261.66,242.37
5452500-S,,227,168.05,231.54,170.32,208.26,,245.16,225.87
54525K0,,100.43,,,,,,,
54525L0,,100.43,,,,,,,
54525R0 G,,,,,,,565.41,,
54525R0-P,,243.5,177.05,248.04,179.32,224.76,,261.66,242.37
54525R0-S,,227,168.05,231.54,170.32,208.26,,245.16,225.87
54525X0 S,,,,,,,1211.74,,
5461500-P,,294.5,198.09,300.06,200.87,,,316.74,
5461500-S,,278,189.09,283.56,191.87,,,300.24,
54615K0,,75.79,,,,,,,
54615L0,,75.79,,,,,,,
54615R0-P,,294.5,198.09,300.06,200.87,,,316.74,
54615R0-S,,278,189.09,283.56,191.87,,,300.24,
54615X0 S,,,,,,,1193.15,,
5461F00-P,,302.5,206.09,308.22,208.95,,,325.38,
5461F00-S,,286,197.09,291.72,199.95,,,308.88,
5461FK0,,83.79,,,,,,,
5461FL0,,83.79,,,,,,,
5461FR0-P,,302.5,206.09,308.22,208.95,,,325.38,
5461FR0-S,,286,197.09,291.72,199.95,,,308.88,
5461FX0 S,,,,,,,1201.15,,
5471500 G,,,,,,,571.41,,
5471500 DA,,,,,,,651.98,,
5471500-P,,249.5,183.05,254.16,185.38,230.76,,268.14,248.85
5471500-S,,233,174.05,237.66,176.38,214.26,,251.64,232.35
54715K0,,106.43,,,,,,,
54715L0,,106.43,,,,,,,
54715R0 G,,,,,,,571.41,,
54715R0-P,,249.5,183.05,254.16,185.38,230.76,,268.14,248.85
54715R0-S,,233,174.05,237.66,176.38,214.26,,251.64,232.35
54715X0 S,,,,,,,1217.74,,
5471F00 G,,,,,,,577.41,,
5471F00 DA,,,,,,,657.98,,
5471F00-P,,255.5,189.05,260.28,191.44,236.76,,274.62,255.33
5471F00-S,,239,180.05,243.78,182.44,220.26,,258.12,238.83
5471FK0,,112.43,,,,,,,
5471FL0,,112.43,,,,,,,
5471FR0 G,,,,,,,577.41,,
5471FR0-P,,255.5,189.05,260.28,191.44,236.76,,274.62,255.33
5471FR0-S,,239,180.05,243.78,182.44,220.26,,258.12,238.83
5471FX0 S,,,,,,,1223.74,,
5472500 G,,,,,,,619.41,,
5472500 DA,,,,,,,699.98,,
5472500-P,,297.5,231.05,303.12,233.86,278.76,,319.98,300.69
5472500-S,,281,222.05,286.62,224.86,262.26,,303.48,284.19
54725K0,,154.43,,,,,,,
54725L0,,154.43,,,,,,,
54725R0 G,,,,,,,619.41,,
54725R0-P,,297.5,231.05,303.12,233.86,278.76,,319.98,300.69
54725R0-S,,281,222.05,286.62,224.86,262.26,,303.48,284.19
54725X0 S,,,,,,,1265.74,,
600250T-P,,,,133.04,,,,139.16,
600250T-S,,,,104.04,,,,110.16,
600350T KIT-P,,,,143.69,,,,149.81,
600350T KIT-S,,,,114.69,,,,120.81,
600350T-P,,131,,133.04,,,,139.16,
600350T-S,,102,,104.04,,,,110.16,
600350 DA,,,,,,,472.29,,
600450T-P,,,,133.04,,,,139.16,
600450T-S,,,,104.04,,,,110.16,
600550T-P,,,,129.67,,,,135.6,
600550T-S,,,,100.67,,,,106.6,
600650269 G-XX,,,,,,,399.3,,
600650T KIT-P,,,,143.69,,,,149.81,
600650T KIT-S,,,,114.69,,,,120.81,
600650 DA,,,,,,,472.29,,
600650T-P,,,,133.04,,,,139.16,
600650T-S,,,,104.04,,,,110.16,
600750T-P,,,,129.67,,,,135.6,
600750T-S,,,,100.67,,,,106.6,
600850T-P,,,,129.67,,,,135.6,
600850T-S,,,,100.67,,,,106.6,
600950T-P,,,,133.04,,,,139.16,
600950T-S,,,,104.04,,,,110.16,
601150T KIT-P,,,,143.69,,,,149.81,
601150T KIT-S,,,,114.69,,,,120.81,
601150T-P,,,,133.04,,,,139.16,
601150T-S,,,,104.04,,,,110.16,
601250T-P,,,,118.45,,,,123.72,
601250T-S,,,,89.45,,,,94.72,
601251T-P,,,,118.45,,,,123.72,
601251T-S,,,,89.45,,,,94.72,
601450T KIT-P,,,,148.79,,,,155.21,
601450T KIT-S,,,,119.79,,,,126.21,
601450 DA,,,,,,,477.29,,
601450T-P,,,,138.14,,,,144.56,
601450T-S,,,,109.14,,,,115.56,
601452T-P,,,,142.22,,,,148.88,
601452T-S,,,,113.22,,,,119.88,
60300 CUT W 219,,,,,,,,110.43,
607155XT-P,,,,151.4,,,,158.6,
607155XT-S,,,,122.4,,,,129.6,
607255XT-P,,,,151.4,,,,158.6,
607255XT-S,,,,122.4,,,,129.6,
607355XT-P,,,,151.4,,,,158.6,
607355XT-S,,,,122.4,,,,129.6,
607455XT-P,,,,153.44,,,,160.76,
607455XT-S,,,,124.44,,,,131.76,
607555XT-P,,,,153.44,,,,160.76,
607555XT-S,,,,124.44,,,,131.76,
60810 XXX C,,,,,,,964,,
60810D XXX C,,,,,,,1047,,
60820 XXX C,,,,,,,964,,
60820D XXX C,,,,,,,1047,,
6210555 G,,,,,,,421.74,,
6210555T-P,,,,176.9,,,,185.6,
6210555T-S,,,,147.9,,,,156.6,
6211555 G,,,,,,,439.74,,
6211555T-P,,,,195.26,,,,205.04,
6211555T-S,,,,166.26,,,,176.04,
6212555 G,,,,,,,421.74,,
6212555T-P,,,,176.9,,,,185.6,
6212555T-S,,,,147.9,,,,156.6,
6221554T-P,,,,194.24,,,,203.96,
6221554T-S,,,,165.24,,,,174.96,
6221557T-P,,,,194.24,,,,203.96,
6221557T-S,,,,165.24,,,,174.96,
6261557T-P,,,,226.88,,,,238.52,
6261557T-S,,,,197.88,,,,209.52,
6270515,,,,96.8,,,,,
6271515,,,,109,,,,,
6280550 G,,,,,,,394.74,,
6282550 G,,,,,,,394.74,,
640155CT-P,,,,118.96,,,,124.26,
640155CT-S,,,,89.96,,,,95.26,
640155T-P,,,,118.96,,,,124.26,
640155T-S,,,,89.96,,,,95.26,
640250T-P,,,,138.14,,,,144.56,
640250T-S,,,,109.14,,,,115.56,
640251T-P,,,,138.14,,,,144.56,
640251T-S,,,,109.14,,,,115.56,
640550AT-P,,,,156.5,,,,164,
640550AT-S,,,,127.5,,,,135,
640550FT-P,,,,156.5,,,,164,
640550FT-S,,,,127.5,,,,135,
640550T-P,,,,156.5,,,,164,
640550T-S,,,,127.5,,,,135,
640750ET-P,,,,121.31,,,,126.74,
640750ET-S,,,,92.31,,,,97.74,
640750GT-P,,,,121.31,,,,126.74,
640750GT-S,,,,92.31,,,,97.74,
640950T-P,,,,130.8,,,,136.78,
640950T-S,,,,101.8,,,,107.78,
640952T-P,,,,130.8,,,,136.78,
640952T-S,,,,101.8,,,,107.78,
641050T-P,,,,168.74,,,,176.96,
641050T-S,,,,139.74,,,,147.96,
641051T-P,,,,168.74,,,,176.96,
641051T-S,,,,139.74,,,,147.96,
641200 C,,,,,,,960,,
641200D C,,,,,,,1043,,
641201 C,,,,,,,960,,
641201D C,,,,,,,1043,,
650003,,53.6,,,,,,,
652150T 011-P,,,,164.66,,,,172.64,
652150T 011-S,,,,135.66,,,,143.64,
652150T 012-P,,,,164.66,,,,172.64,
652150T 012-S,,,,135.66,,,,143.64,
652150T 021-P,,,,164.66,,,,172.64,
652150T 021-S,,,,135.66,,,,143.64,
6522560 G-121-XX,,,,,,,378.35,,
6522560 G-122-XX,,,,,,,378.35,,
6522560T 121-P,,,,160.58,,,,168.32,
6522560T 121-S,,,,131.58,,,,139.32,
6522560T 122-P,,,,160.58,,,,168.32,
6522560T 122-S,,,,131.58,,,,139.32,
6522560T 132-P,,,,160.58,,,,168.32,
6522560T 132-S,,,,131.58,,,,139.32,
6522560T 133-P,,,,160.58,,,,168.32,
6522560T 133-S,,,,131.58,,,,139.32,
6522560T 134-P,,,,160.58,,,,168.32,
6522560T 134-S,,,,131.58,,,,139.32,
6522560T 221-P,,,,160.58,,,,168.32,
6522560T 221-S,,,,131.58,,,,139.32,
652650T 101-P,,,,266.66,,,,280.64,
652650T 101-S,,,,237.66,,,,251.64,
652650T 102-P,,,,266.66,,,,280.64,
652650T 102-S,,,,237.66,,,,251.64,
652650T 111-P,,,,266.66,,,,280.64,
652650T 111-S,,,,237.66,,,,251.64,
652650T 131-P,,,,266.66,,,,280.64,
652650T 131-S,,,,237.66,,,,251.64,
652650T 132-P,,,,266.66,,,,280.64,
652650T 132-S,,,,237.66,,,,251.64,
652650T 133-P,,,,266.66,,,,280.64,
652650T 133-S,,,,237.66,,,,251.64,
66391-P,,,,106.32,,,,110.86,
66391-S,,,,77.32,,,,81.86,
66418-P,,123.5,,125.39,,,,131.06,
66418-S,,94.5,,96.39,,,,102.06,
90-0001,,4.35,,,,,,,
90-0028,,23.8,,,,,,,
94-0010,,63.3,,,,,,,
94-0020,,6.41,,,,,,,
94-0029,,9.09,,,,,,,
94-0030,,9.09,,,,,,,
94-0034,,15.5,,,,,,,
94-0035,,15.5,,,,,,,
94-0036,,15.5,,,,,,,
94-0051,,39.1,,,,,,,
94-0052,,19.1,,,,,,,
94-0058-MED,,193,,,,,,,
94-0059,,47.1,,,,,,,
94-0061,,27.4,,,,,,,
94-0067,,4.49,,,,,,,
94-0098,,15.5,,,,,,,
94-0171,,107,,,,,,,
94-0174,,16,,,,,,,
94-0188,,19.9,,,,,,,
94-0199,,17,,,,,,,
94-0203,,12.7,,,,,,,
94-0207,,2.38,,,,,,,
94-0208,,1246,,,,,,,
940210,,10.5,,,,,,,
940212,,50.8,,,,,,,
94-0213,,33.2,,,,,,,
940219,,6648,,,,,,,
94-0221,,57.5,,,,,,,
94-0222,,174,,,,,,,
94-0223,,174,,,,,,,
94-0255,,16,,,,,,,
94-0256,,16,,,,,,,
940239,,,,,,,264,,
940243,,6300,,,,,,,
940249,,,,,,,485,,
940261,,1720,,,,,,,
940264,23,,,,,,1132,,
940269,,367,,,,,,,
940271,,,,,,,233,,
94-0272,,15.5,,,,,,,
940276,,,,,,,846,,
940279,,4198,,,,,,,
940281 001,,,,,,,454,,
940282 001,,,,,,,414,,
94-0283,,31.8,,,,,,,
94-0285,,12.7,,,,,,,
94-0287,,1025,,,,,,,
94-0288,,260,,,,,,,
94-0289,,260,,,,,,,
94-0290,,,,,,,104,,
94-0291,,,,,,,142,,
94-0292,,,,,,,140,,
94-0294,,77.6,,,,,,,
94-0295,,141,,,,,,,
94-0296,,363,,,,,,,
94-0304-M0P,,664,,,,,,,
94-0304-MBP,,664,,,,,,,
94-0305-M0P,,555,,,,,,,
94-0305-MBP,,555,,,,,,,
94-0306,,,,,,,275,,
94-0307,,,,,,,247,,
94-0309,,,,,,,88.3,,
94-0316,,31.2,,,,,,,
94-0317-516,,6.22,,,,,,,
94-0317-716,,6.22,,,,,,,
94-0318,,125,,,,,,,
94-0323,,43,,,,,,,
94-0325,,,,,,,299,,
94-0326,,285,,,,,,,
940312,,,,,,,455,,
95-000200,,4524,,,,,,,
95-001100,,4524,,,,,,,
95-100070,,673,,,,,,,
95-100400,,673,,,,,,,
95-100400-SHARP,,272,,,,,,,
95-200080,,445,,,,,,,
95-210080,,851,,,,,,,
95-210100,,1700,,,,,,,
95-210100-MED3,,,,1700,,,,,
95-210100-MED4,,1700,,,,,,,
95-210100-UNIV,,949,,,,,,,
95-210100-XX,,949,,,,,,,
95-210130-MED3,,,,1670,,,,,
95-210130-MED4,,1670,,,,,,,
95-210130-UNIV,,852,,,,,,,
95-210130-XX,,852,,,,,,,
95-M11000,,16616,,,,,,,
95-M11100,,16616,,,,,,,
95-M23000,,16616,,,,,,,
95-M34000,,17684,,,,,,,
95-M34100,,17684,,,,,,,
95-M45000,,16616,,,,,,,
95-M55000,,16616,,,,,,,
95-M56000,,17209,,,,,,,
960357-P,,139,,141.2,,,,147.8,
960357-S,,110,,112.2,,,,118.8,
960358-P,,139,,141.2,,,,147.8,
960358-S,,110,,112.2,,,,118.8,
960590 W 26-S6-S,,,,,,,,96.07,
CARD 1 X XX,,15.7,,,,,,,
CARD 2 X XX ,,15.7,,,,,,,
CARD 6 X XX,,15.7,,,,,,,
CARD KS XX 8E ,,44.4,,,,,,,
CARD XX 56 XX,,48.8,,,,,,,
CARD XX 66 XX,,48.8,,,,,,,
CB-CODE-BIA,,54.2,,,,,,,
CB-CODE-BOK,,54.2,,,,,,,
CN-DIES,,720,,,,,,,
CP-010103-040,,0.78,,,,,,,
CP-010203-030,,0.29,,,,,,,
CP-010203-050,,0.29,,,,,,,
CP-010234-320,,0.94,,,,,,,
CP-010235-120-XX,,0.94,,,,,,,
CP-010503-040,,0.43,,,,,,,
CP-011011-020,,0.3,,,,,,,
CP-011013-020,,0.36,,,,,,,
CP-011013-040,,0.49,,,,,,,
CP-011511-000,,0.81,,,,,,,
CP-011520-400,,3.06,,,,,,,
CP-011749,,23.1,,,,,,,
CP-011751,,23.1,,,,,,,
CP-011753,,11.8,,,,,,,
CP-011754,,11.8,,,,,,,
CP-011757,,23.1,,,,,,,
CP-011762,,23.1,,,,,,,
CP-011763,,23.1,,,,,,,
CP-011764,,23.1,,,,,,,
CP-011767,,23.1,,,,,,,
CP-012409-030,,0.74,,,,,,,
CP-012411-030,,0.94,,,,,,,
CP-012411-040,,0.94,,,,,,,
CP-012917-000,,0.67,,,,,,,
CP-014213-061,,1.25,,,,,,,
CP-014642-591,,1.25,,,,,,,
CP-020010,,0.78,,,,,,,
CP-020020,,2.01,,,,,,,
CP-020031,,7.04,,,,,,,
CP-020040,,3.86,,,,,,,
CP-020100,,1.25,,,,,,,
CP-020240,,0.3,,,,,,,
CP-021011,,0.94,,,,,,,
CP-021031,,2.54,,,,,,,
CP-021121,,17.3,,,,,,,
CP-021130,,3.6,,,,,,,
CP-021370,,9.74,,,,,,,
CP-021400,,6.64,,,,,,,
CP-021490,,2.01,,,,,,,
CP-021651,,15,,,,,,,
CP-022030,,8.83,,,,,,,
CP-030001,,0.11,,,,,,,
CP-030017,,0.11,,,,,,,
CP-030018,,0.11,,,,,,,
CP-030024,,0.78,,,,,,,
CP-030025,,0.29,,,,,,,
CP-030042,,0.12,,,,,,,
CP-030430,,0.52,,,,,,,
CP-030590,,23.1,,,,,,,
CP-030670,,2.01,,,,,,,
CP-030860,,1.33,,,,,,,
CP-030910,,0.12,,,,,,,
CP-031030,,0.82,,,,,,,
CP-031170,,0.42,,,,,,,
CP-031180,,0.23,,,,,,,
CP-031480,,0.42,,,,,,,
CP-031560,,0.12,,,,,,,
CP-041200,,5.05,,,,,,,
CP-050050,,3.46,,,,,,,
CP-050060,,2.01,,,,,,,
CP-050120,,14.1,,,,,,,
CP-060106,,1.47,,,,,,,
CP-060203,,0.52,,,,,,,
CP-063220,,0.75,,,,,,,
CP-064231,,5.44,,,,,,,
CP-064490,,2.4,,,,,,,
CP-064701,,5.44,,,,,,,
CP-070011,,33.4,,,,,,,
CP-070111,,11.6,,,,,,,
CP-070131,,11.6,,,,,,,
CP-070141,,11.6,,,,,,,
CP-070161,,11.6,,,,,,,
CP-070171,,11.6,,,,,,,
CP-070181,,11.6,,,,,,,
CP-070201,,11.6,,,,,,,
CP-070441,,11.6,,,,,,,
CP-070451,,26.7,,,,,,,
CP-070481,,11.6,,,,,,,
CP-070501,,11.6,,,,,,,
CP-070691,,82.7,,,,,,,
CP-070701,,82.7,,,,,,,
CP-070711,,82.7,,,,,,,
CP-070721,,82.7,,,,,,,
CP-070731,,82.7,,,,,,,
CP-070741,,82.7,,,,,,,
CP-084571,,9.59,,,,,,,
CP-0845A0,,11.8,,,,,,,
CP-084671,,9.59,,,,,,,
CP-0846A0,,11.8,,,,,,,
CP-100111,,13.3,,,,,,,
CP-100771-Z00,,11.8,,,,,,,
CP-100771-Z01,,11.8,,,,,,,
CP-100771-Z02,,11.8,,,,,,,
CP-100771-Z20,,11.8,,,,,,,
CP-100771-Z34,,11.8,,,,,,,
CP-100781-Z00,,11.8,,,,,,,
CP-100781-Z01,,11.8,,,,,,,
CP-100781-Z02,,11.8,,,,,,,
CP-100781-Z20,,11.8,,,,,,,
CP-100781-Z34,,11.8,,,,,,,
CP-130101,,10.2,,,,,,,
CP-130510,,7.43,,,,,,,
CP-142043,,64.1,,,,,,,
CP-142543,,68.5,,,,,,,
CP-144110,,12.9,,,,,,,
CP-144120,,12.9,,,,,,,
CP-144130,,15.6,,,,,,,
CP-144140,,15.6,,,,,,,
CP-144150,,15.6,,,,,,,
CP-144160,,17.3,,,,,,,
CP-144170,,19.3,,,,,,,
CP-144180,,19.3,,,,,,,
CP-144190,,21.7,,,,,,,
CP-144200,,21.7,,,,,,,
CP-144210,,21.7,,,,,,,
CP-144220,,23.8,,,,,,,
CP-150082,,72.4,,,,,,,
CP-150102,,96,,,,,,,
CP-150142,,36.5,,,,,,,
CP-150152,,52.2,,,,,,,
CP-160180,,33.4,,,,,,,
CP-160661-50,,1.47,,,,,,,
CP-160661-55,,1.47,,,,,,,
CP-160661-60,,1.47,,,,,,,
CP-160661-65,,1.47,,,,,,,
CP-160691,,2.4,,,,,,,
CP-160910,,1.25,,,,,,,
CP-160XXX,,9.86,,,,,,,
CP-170011,,0.67,,,,,,,
CP-170021,,0.47,,,,,,,
CP-170031,,0.67,,,,,,,
CP-170041,,0.67,,,,,,,
CP-170051,,0.67,,,,,,,
CP-170061,,0.67,,,,,,,
CP-170250,,23.8,,,,,,,
CP-170271,,0.67,,,,,,,
CP-170430,,7.16,,,,,,,
CP-170440,,7.16,,,,,,,
CP-170481,,0.67,,,,,,,
CP-170730-5,,0.76,,,,,,,
CP-170730-6,,0.76,,,,,,,
CP-170930,41,,,,,,78.3,,
CP-171011,,18.8,,,,,,,
CP-171021,,18.8,,,,,,,
CP-171031,,18.8,,,,,,,
CP-180021,,12,,,,,,,
CP-180031,,2.13,,,,,,,
CP-180041,,11.8,,,,,,,
CP-180061,,21.1,,,,,,,
CP-200720,,7.43,,,,,,,
CP-200751-10,,6.38,,,,,,,
CP-200751-15,,7.04,,,,,,,
CP-200751-20,,7.43,,,,,,,
CP-200751-25,,9.09,,,,,,,
CP-200751-30,,9.59,,,,,,,
CP-200751-40,,10.6,,,,,,,
CP-200751-45,,10.9,,,,,,,
CP-200751-50,,12.5,,,,,,,
CP-200751-55,,12.9,,,,,,,
CP-200751-60,,13.5,,,,,,,
CP-200751-65,,14,,,,,,,
CP-200751-70,,14.9,,,,,,,
CP-200751-75,,15,,,,,,,
CP-200751-80,,15.6,,,,,,,
CP-200751-85,,16.4,,,,,,,
CP-200751-90,,17.3,,,,,,,
CP-200761-05,,4.14,,,,,,,
CP-200761-10,,4.54,,,,,,,
CP-200761-15,,5.21,,,,,,,
CP-200761-20,,5.72,,,,,,,
CP-200761-25,,7.04,,,,,,,
CP-200761-30,,7.43,,,,,,,
CP-200761-40,,8.57,,,,,,,
CP-200761-45,,10.2,,,,,,,
CP-200761-50,,10.6,,,,,,,
CP-200761-55,,10.9,,,,,,,
CP-200761-60,,12,,,,,,,
CP-200761-65,,12.5,,,,,,,
CP-200761-70,,17.3,,,,,,,
CP-200761-75,,17.3,,,,,,,
CP-200761-80,,17.9,,,,,,,
CP-200761-85,,18.8,,,,,,,
CP-200761-90,,18.8,,,,,,,
CP-200771-05,,8.83,,,,,,,
CP-200771-10,,10.2,,,,,,,
CP-200771-15,,11.8,,,,,,,
CP-200771-20,,13.3,,,,,,,
CP-200771-25,,14.7,,,,,,,
CP-200781-05,,5.99,,,,,,,
CP-200781-10,,6.66,,,,,,,
CP-200781-15,,7.43,,,,,,,
CP-200781-20,,7.81,,,,,,,
CP-200781-25,,8.45,,,,,,,
CP-200801-00,,35.1,,,,,,,
CP-200801-02,,38,,,,,,,
CP-200801-04,,40.3,,,,,,,
CP-200801-06,,42.3,,,,,,,
CP-200801-08,,44.8,,,,,,,
CP-200801-0A,,47.6,,,,,,,
CP-200801-12,,29.8,,,,,,,
CP-200801-14,,32.8,,,,,,,
CP-200801-16,,35.1,,,,,,,
CP-200801-18,,38,,,,,,,
CP-200801-1A,,40.3,,,,,,,
CP-200801-22,,40.3,,,,,,,
CP-200801-24,,42.3,,,,,,,
CP-200801-26,,44.8,,,,,,,
CP-200801-28,,47.6,,,,,,,
CP-200801-2A,,50.6,,,,,,,
CP-200801-44,,44.8,,,,,,,
CP-200801-46,,47.6,,,,,,,
CP-200801-48,,50.6,,,,,,,
CP-200801-4A,,53.6,,,,,,,
CP-200801-66,,50.6,,,,,,,
CP-200801-68,,53.6,,,,,,,
CP-200801-6A,,56,,,,,,,
CP-200801-88,,56,,,,,,,
